"V1","V2","V3","V4","V5"
"result",4,1,1,0,1866.11560172344
"result",4,1,1,1,1834.71138902368
"result",4,1,1,2,1760.78629053447
"result",4,1,2,0,1859.14575308108
"result",4,1,2,1,1798.93805207048
"result",4,1,3,0,1831.05143467531
"result",4,1,3,1,1792.22618175861
"result",4,2,0,0,2148.06780273869
"result",4,2,0,1,1827.78069610979
"result",4,2,0,2,1827.19712157635
"result",4,2,0,3,1811.73786765839
"result",4,2,1,0,1867.2459340708
"result",4,2,1,1,1832.11579872551
"result",4,2,2,0,1859.72767039457
"result",4,2,2,1,1801.63212089861
"result",4,2,3,0,1832.06192874426
"result",4,2,3,1,1791.53382926479
"result",4,3,0,0,2080.82981924901
"result",4,3,0,1,1780.06639854087
"result",4,3,0,2,1837.46782368914
"result",4,3,0,3,1768.97790871062
"result",4,3,1,0,1856.12698849366
"result",4,3,1,1,1823.7697416299
"result",4,3,2,0,1850.52470236067
"result",4,3,2,1,1793.52442279844
"result",4,3,3,0,1833.32166971889
"result",4,3,3,1,1791.86042061174
"result",4,3,3,2,1759.36225317566
"result",4,3,3,3,1761.35505432952
"result",4,4,0,0,2002.66386120511
"result",4,4,0,1,1784.31881742853
"result",4,4,0,2,1782.96441324756
"result",4,4,0,3,1773.6944205837
"result",4,4,1,0,1832.04090861927
"result",4,4,1,1,1821.21449571275
"result",4,4,1,3,1765.33242442558
"result",4,4,2,0,1832.33938881804
"result",4,4,2,3,1768.65165235887
"result",4,4,3,0,1835.22081562777
"result",4,4,3,1,1792.11857111835
"result",4,4,3,2,1758.51335553818
"result",4,4,3,3,1761.07816334335
